id,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
rank-3-7bd3bacac26c454b89d6990853053453,400,400,0.25,0.03981071705534973,0.15848931924611134,True,3,1.0524075031280518
rank-3-47be8d868f9d4aa5b2f4d5d67481f4aa,100,100,0.5,0.15848931924611134,2.51188643150958,False,3,1.0435746908187866
rank-3-0b9eb1c36dab48b4b69956f6f6d00b9f,400,400,0.0,2.51188643150958,0.15848931924611134,False,1,0.4929953217506409
rank-3-ba5efe3bc6464a7199032a0b5f823cc9,100,100,1.0,0.15848931924611134,2.51188643150958,False,4,0.9342501163482666
rank-3-2c5ece896a334a7faf3da58d65531afd,400,400,0.0,0.03981071705534973,2.51188643150958,False,3,1.0477981567382812
rank-3-ea3803677dfb4b3c953fde4e94b46546,400,400,1.0,0.03981071705534973,2.51188643150958,True,0,1.1184749603271484
rank-3-30071ccc5e534a90a494aeb7cf629f5c,100,100,0.5,0.01,0.01,True,2,1.3248023986816406
rank-3-61d3d0a6e2a34f1d9416a48d2f7793ef,100,100,0.0,10.0,0.6309573444801929,False,1,0.9951158165931702
rank-3-eb48dac71ddc421cb4a633dda7c7da0f,100,100,1.0,0.01,10.0,False,4,1.3256289958953855
rank-3-2284af9249f841c184a85c5e863a5ccc,100,100,0.25,0.6309573444801929,2.51188643150958,True,0,1.0080752372741701
rank-3-db9dfb3079074077891a6dcedec8b2e4,100,100,1.0,10.0,0.15848931924611134,True,0,0.9797978401184082
rank-3-95b08b6a488f452c8a8f589bd899b5ab,400,400,1.0,0.15848931924611134,0.03981071705534973,False,1,0.7180552482604979
rank-3-c3dbba4ff19e49d4a9299d88abcf9851,100,100,1.0,0.15848931924611134,0.6309573444801929,False,0,1.0241191387176514
rank-3-80ec7934e52e47a48569079531577e3a,100,100,0.75,0.01,2.51188643150958,False,3,1.2875714302062988
rank-3-87bff28bffa44bf5aac87db7cd8bf8ec,100,100,0.75,0.01,0.03981071705534973,False,1,1.2871112823486328
rank-3-efa3e33555774db7ab680051e1a5ffe5,100,100,1.0,0.6309573444801929,10.0,True,1,0.978434920310974
rank-3-960b09bb6c6d4c46949a8cc896155cb7,100,100,1.0,0.03981071705534973,0.15848931924611134,False,0,1.2419636249542236
rank-3-47131850362e459a932a23555a9814cd,100,100,0.0,10.0,10.0,False,4,0.9540305137634276
rank-3-1921148007474a82b965789fce28c1ae,100,100,0.75,10.0,10.0,False,1,0.96351420879364
