id,nlayers,main_train_pts,aux_train_pts,relatedness,s_a,s_b,single_task,train_seed,validation-1/loss
deep-nonlinear-2542e5e499d64bf6b2d4c8d32dbebe40,5,400,400,0.75,0.6309573444801929,0.15848931924611134,False,1,2.2514162063598637
deep-nonlinear-119092794d4a49adac7f45a6a69fd877,5,200,200,0.0,0.6309573444801929,0.6309573444801929,False,2,2.2851815223693848
deep-nonlinear-2e1e7593ae9d487aa37ebfdeb38e3768,1,800,800,1.0,0.01,0.03981071705534973,False,4,2.3638179302215576
deep-nonlinear-3c0e76c2952d472293ebeb8d90c63106,1,400,400,0.75,2.51188643150958,0.01,False,2,1.7136082649230957
deep-nonlinear-6210b3ae3f32496498e2d4db8fa56298,5,400,400,0.0,0.03981071705534973,0.03981071705534973,False,3,2.299933433532715
deep-nonlinear-c7c517ca0a0e40dfa9ae9f6c3a5e73c0,3,400,400,0.0,0.15848931924611134,10.0,False,3,2.233245849609375
deep-nonlinear-1965968ad83a4ce493b5ea1a52bb549f,1,200,200,0.5,0.03981071705534973,0.15848931924611134,False,3,2.4112696647644043
deep-nonlinear-8ef1f1b9ab7c433eb52a176ca0288b0a,1,800,800,1.0,0.6309573444801929,10.0,False,3,1.2264852523803709
deep-nonlinear-0a4b58d7f6f74d7e87cb8b7e159c8147,1,400,400,0.0,0.15848931924611134,0.01,False,0,2.0246536731719966
deep-nonlinear-1b0c6916f50d4dd5a9c75b95b9b50259,1,200,200,0.75,0.15848931924611134,0.01,False,0,2.2334985733032227
deep-nonlinear-40348142c83e491bb6deaa3a94cd5d09,3,400,400,0.75,0.01,0.15848931924611134,False,2,2.3143177032470703
deep-nonlinear-7d64d73fc6c44acfbafde63bf5c071ff,1,800,800,0.0,0.15848931924611134,0.6309573444801929,False,4,1.6828625202178955
deep-nonlinear-f1d0c5c22c5142528beae5c6fdf5751c,1,400,400,0.25,0.01,0.01,False,1,2.406521797180176
deep-nonlinear-39b8dae5878047f88f31659fcfa3552f,1,400,400,0.75,0.03981071705534973,0.6309573444801929,False,3,2.358767509460449
deep-nonlinear-d1a7ff00b6684e4683e535656973094c,1,200,200,1.0,0.03981071705534973,2.51188643150958,False,1,2.436675310134888
deep-nonlinear-675e981a2ebb4702b5d6a6e3f8027c17,1,800,800,0.75,2.51188643150958,2.51188643150958,False,0,1.3198808431625366
deep-nonlinear-1c5b07d66d054819994366320c883460,3,800,800,0.25,10.0,0.15848931924611134,False,0,2.1095075607299805
deep-nonlinear-bf78d762e73546718f170bea40695733,3,800,800,0.0,10.0,1.0,True,1,1.9136029481887815
deep-nonlinear-40e06f6591f44437847cfaac61625aea,3,200,200,0.5,0.03981071705534973,0.03981071705534973,False,3,2.3051917552948
deep-nonlinear-d5f57af2811f4cbab8df5a82ed0ea88a,5,400,400,0.75,0.6309573444801929,0.6309573444801929,False,3,2.186694622039795
deep-nonlinear-8910ae9e93934c3794e5fe8086ed4118,1,800,800,0.0,0.6309573444801929,10.0,False,1,1.5454180240631104
deep-nonlinear-2ee1e5e19a0e40faa89fe4d37a871a3a,3,200,200,0.0,0.01,0.6309573444801929,False,2,2.316206932067871
